id,raw_sentence,processed_sentence
7490,"You need either a filter for each device except the DSL modem , or a whole home filter which filters all the jacks , except the one which the DSL modem connects .",need either filter device except dsl modem whole home filter filter jack except one dsl modem connect
7491,Best way to change 35 mm film in Holga 120 whilst out and about ?,good way change mm film holga whilst
7492,"I 've modified my Holga 120 to take 35 mm film and I know that you ca n't wind the film back , you have to open the back of the camera ( in a darkroom ) to rewind the film .",modify holga take mm film know wind film back open back camera darkroom rewind film
7493,What do other Holga owners do when they need to change film when they are traveling ?,holga owner need change film travel
7494,Do you just take a changing bag with you ?,take changing bag
7495,What s the easiest thing ?,easy thing
7496,Well a changing bag would be the easiest solution .,well changing bag would easy solution
7497,It 's light proof and makes sure you get no problems when opening the camera .,light proof make sure get problem open camera
7498,You can work comfortably and make sure your film is not scratched etc .,work comfortably make sure film scratch etc.
7499,It 's really difficult to find a place that is absolutely dark and accessible to you when you 're outside .,really difficult find place absolutely dark accessible outside
7500,A changing bag folds neatly and does not take much space in your bag .,changing bag fold neatly take much space bag
7501,A film changing bag is a handy way of unloading your exposed film in the field .,film changing bag handy way unload expose film field
7502,"Many online stores carry them , like Adorama :",many online store carry like adorama
7503,http://www.adorama.com/BLCBS.html,http://www.adorama.com/blcbs.html
7504,I have a few how to videos for DIY 35 mm film in a 120 camera on my YouTube channel :,video diy mm film camera youtube channel
7505,http://bit.ly/kPlaylists,http://bit.ly/kplaylists
7506,"For more info on lo - fi photography , check put my website :",info lo fi photography check website
7507,http://dianacamera.com,http://dianacamera.com
7508,Should the statue of David be censored ?,statue david censor
7509,I 'm a sophomore in high school doing a presentation on Italian Arts and my teacher is making us censor the Statue of David .,sophomore high school presentation italian art teacher make censor statue david
7510,My argument is it 's art and therefore should not be censored he 's making us censor it who 's right,argument art therefore censor make censor right
7511,"no , it 's only a body of a young man",body young man
7512,the city of florence did at one time in the past put clothes on the statue,city florence one time past put clothes statue
7513,"An art teacher in the mid-cities area of Dallas / Ft. Worth metro got fired because she took an art class on an approved field trip with parental permission for each student and some hysterical parent discovered that they saw "" nudes "" in the museum .",art teacher mid-city area dallas ft. worth metro get fire take art class approve field trip parental permission student hysterical parent discover see nude museum
7514,You do n't think is was because of female nudes considering the nearly naked girls / women seen at pools and beaches and the completely naked manikins that show up in store windows in malls during changes in display ?,think female nude consider nearly naked girl woman see pool beach completely naked manikin show store window mall change display
7515,"No , it was guys .",guy
7516,Your teacher knows what goes on in your community and wants to keep her job .,teacher know go community want keep job
7517,Let her do it - argue when you are of age and can battle the other adults in your community - skipping of course telling your boss he / she is a prudish ignoramus because you want to keep your job .,let argue age battle adult community skip course tell boss prudish ignoramus want keep job
7518,Better Steakhouse in Philadelphia ?,good steakhouse philadelphia
7519,I am taking my wife out for our first year wedding anniversary and we both agree that we want a good steak .,take wife first year wedding anniversary agree want good steak
7520,We are staying at a hotel in Center City Philadelphia so I wanted something close .,stay hotel center city philadelphia want something close
7521,I have spent the afternoon looking around from menu to menu ...,spend afternoon look around menu menu
7522,I have also looked at the photo galleries for an inside look at the decor of the restaurants and I have narrowed it down to three establishments .,also look photo gallery inside look decor restaurant narrow three establishment
7523,I have never been to any of these places so any suggestions and or advice would be most welcome .,never place suggestion advice would welcome
7524,"It 's narrowed down to Butcher and Singer , Davio 's , and Del Frisco s .",narrow butcher singer davio 's del frisco 's
7525,Thanks in advance for the advice .,thanks advance advice
7526,"Sidenote ... I am familiar with the Capital Grille , Barclay Prime , The Palm , The Prime Rib , Morton s , Ruth Chris ' , etc .",sidenote familiar capital grille barclay prime palm prime rib morton 's ruth chris 's etc.
7527,I have weighed those options and found the three that I have chosen to be more my wife and my own taste .,weigh option find three choose wife taste
7528,Please only reviews on the three I mentioned earlier .,please review three mention early
7529,Many thanks .,many thanks
7530,I am only familiar with Morton 's and Ruth Chris .,familiar morton 's ruth chris
7531,I have never eaten at the ones you have listed nor do I know of anyone who has .,never eat one list know anyone
7532,I hope you get your answer .,hope get answer
7533,"Anyway , have a lovely first anniversary !",anyway lovely first anniversary
7534,HAMSTERS - will a hamster be ok living in the bathroom ?,hamster hamster ok live bathroom
